IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.24.34.194,4,4,0.00,216.86,0.00,LAX
104.17.146.232,4,4,0.00,216.93,0.00,LAX
162.159.255.25,4,4,0.00,216.93,0.00,LAX
141.101.121.103,4,4,0.00,216.94,0.00,LAX
104.19.215.84,4,4,0.00,216.95,0.00,LAX
104.24.3.5,4,4,0.00,216.97,0.00,LAX
104.17.118.168,4,4,0.00,216.98,0.00,LAX
104.24.183.174,4,4,0.00,217.00,0.00,LAX
104.18.86.253,4,4,0.00,217.01,0.00,LAX
172.64.86.15,4,4,0.00,217.06,0.00,LAX
104.19.0.148,4,4,0.00,217.17,0.00,LAX
104.16.2.72,4,4,0.00,217.17,0.00,LAX
104.25.94.155,4,4,0.00,217.17,0.00,LAX
172.64.83.209,4,4,0.00,217.19,0.00,LAX
104.16.162.153,4,4,0.00,217.26,0.00,LAX
162.159.45.65,4,4,0.00,217.29,0.00,LAX
104.18.248.187,4,4,0.00,217.31,0.00,LAX
104.21.206.157,4,4,0.00,217.32,0.00,LAX
104.19.56.40,4,4,0.00,217.39,0.00,LAX
104.17.110.192,4,4,0.00,217.39,0.00,LAX
104.17.133.187,4,4,0.00,217.41,0.00,LAX
104.16.187.215,4,4,0.00,217.42,0.00,LAX
104.21.96.80,4,4,0.00,217.46,0.00,LAX
162.159.233.226,4,4,0.00,217.46,0.00,LAX
104.18.255.32,4,4,0.00,217.47,0.00,LAX
172.67.161.8,4,4,0.00,217.56,0.00,LAX
104.16.202.10,4,4,0.00,217.61,0.00,LAX
104.18.68.102,4,4,0.00,217.65,0.00,LAX
172.67.243.7,4,4,0.00,217.65,0.00,LAX
104.18.62.70,4,4,0.00,217.67,0.00,LAX
104.25.93.148,4,4,0.00,217.68,0.00,LAX
104.24.194.126,4,4,0.00,217.68,0.00,LAX
162.159.44.128,4,4,0.00,217.71,0.00,LAX
104.17.98.190,4,4,0.00,217.73,0.00,LAX
104.19.4.123,4,4,0.00,217.75,0.00,LAX
162.159.25.2,4,4,0.00,217.86,0.00,LAX
104.25.170.62,4,4,0.00,217.90,0.00,LAX
104.24.166.200,4,4,0.00,217.90,0.00,LAX
